policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
sequential,131072,16,128,128,0.575445,0.244269,217.223126,0.000000,4.59
roundrobin,131072,16,128,128,0.266462,0.252932,469.109468,0.000000,4.59
