policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
sequential,2097152,16,8,8,3.135864,1.958984,637.782709,0.000000,0.38
roundrobin,2097152,16,8,8,3.045227,2.083984,656.765478,0.000000,0.38
