policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
sequential,4096,16,4096,249,0.442152,0.326627,40.766998,0.000000,12.36
roundrobin,4096,16,4096,249,0.422996,0.291743,42.613261,0.000000,12.36
