policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
sequential,524288,16,32,32,0.867264,0.557702,576.525855,0.000000,1.22
roundrobin,524288,16,32,32,0.909721,0.526834,549.618833,0.000000,1.22
