policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
sequential,32768,16,512,95,0.606340,1.778611,260.948805,0.000000,4.94
roundrobin,32768,16,512,101,0.598488,1.418767,262.108630,0.000000,5.23
