policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
sequential,16384,16,1024,213,0.594419,0.717930,121.064404,0.000000,10.58
roundrobin,16384,16,1024,215,0.630357,0.732734,117.020165,0.000000,10.78
