policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
sequential,8192,16,2048,249,0.525444,0.461142,68.609559,0.000000,12.36
roundrobin,8192,16,2048,249,0.503252,0.456218,71.634952,0.000000,12.36
