policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
sequential,262144,16,64,64,1.091160,0.352824,229.114008,0.000000,2.34
roundrobin,262144,16,64,64,0.445293,0.384181,561.427556,0.000000,2.34
