policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
sequential,1048576,16,16,16,4.079269,0.923055,245.141936,0.000000,0.66
roundrobin,1048576,16,16,16,1.468201,0.956095,681.105799,0.000000,0.66
