policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
sequential,65536,16,256,52,0.762526,3.247409,390.907076,0.000000,2.69
roundrobin,65536,16,256,59,0.725247,3.186876,373.923066,0.000000,2.94
