block_size,create,write,read
4096,0.001873,93.773151,31.364650
8192,0.002034,57.923001,26.562093
16384,0.001683,39.971509,20.966428
32768,0.001944,30.510466,18.492309
65536,0.001864,26.296050,17.482179
131072,0.001934,24.094827,17.783479
262144,0.001763,24.436042,18.249834
524288,0.001342,23.569632,17.913919
1048576,0.001613,22.200158,17.332641
2097152,0.001552,21.879794,16.955570
4194304,0.001323,22.420466,17.607340
8388608,0.001012,21.926834,16.831027
16777216,0.000992,22.164018,17.098073
