block_size,create,write,read
4096,0.001864,92.216012,32.801136
8192,0.001502,54.057076,23.341532
16384,0.001432,36.398012,21.229638
32768,0.001964,26.921800,18.817537
65536,0.001513,23.265672,17.850374
131072,0.001141,21.320318,17.437132
262144,0.001312,20.789131,17.592662
524288,0.001022,20.593803,16.423351
1048576,0.001272,20.286514,17.167077
2097152,0.001643,20.167167,15.276840
4194304,0.001263,20.693023,16.515219
8388608,0.000972,21.859855,15.265998
16777216,0.000952,21.751452,17.086279
