block_size,create,write,read
4096,0.001483,87.947535,30.729520
8192,0.001933,51.941039,23.459007
16384,0.001463,35.239151,20.551933
32768,0.001583,25.541311,18.574094
65536,0.001522,22.416685,18.147768
131072,0.001503,19.786203,16.827091
262144,0.001492,19.289033,17.362903
524288,0.001403,18.452602,17.663290
1048576,0.001322,18.096889,16.320813
2097152,0.001012,18.071191,15.979818
4194304,0.001172,18.396575,16.325851
8388608,0.001002,20.927147,14.187781
16777216,0.001002,21.331148,15.692323
