policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
weightedroundrobin,11,112,888,0.000000,0.0000,125,125,30,30,0,0.338257,0.000000,1504
weightedroundrobin,21,211,789,0.000000,0.0000,125,125,42,42,0,0.453113,0.000000,2284
weightedroundrobin,31,317,683,0.000000,0.0000,125,125,61,61,0,0.466581,0.000000,3316
weightedroundrobin,40,404,596,0.000000,0.0000,125,125,80,80,0,0.461996,0.000000,4272
weightedroundrobin,50,501,499,0.000000,0.0000,125,125,100,100,0,0.463630,0.000000,5300
weightedroundrobin,61,614,386,0.000000,0.0000,125,125,127,127,0,0.447364,0.000000,6616
weightedroundrobin,71,713,287,0.000000,0.0000,125,125,158,158,0,0.418371,0.000000,8004
weightedroundrobin,80,800,200,0.000000,0.0000,125,125,176,176,0,0.419379,0.000000,8928
weightedroundrobin,91,912,88,0.000000,0.0000,125,125,200,200,0,0.416780,0.000000,10144
