policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
rand,10,100,900,0.000000,0.0000,125,125,19,19,0,0.431962,0.000000,1104
rand,20,202,798,0.000000,0.0000,125,125,42,42,0,0.399681,0.000000,2248
rand,30,305,695,0.000000,0.0000,125,125,60,60,0,0.429374,0.000000,3236
rand,40,400,600,0.000000,0.0000,125,125,97,97,0,0.364479,0.000000,4800
rand,50,501,499,0.000000,0.0000,125,125,113,113,0,0.396828,0.000000,5716
rand,60,607,393,0.000000,0.0000,125,125,133,133,0,0.415467,0.000000,6780
rand,70,700,300,0.000000,0.0000,125,125,151,151,0,0.425671,0.000000,7728
rand,80,800,200,0.000000,0.0000,125,125,178,178,0,0.415659,0.000000,8992
rand,91,911,89,0.000000,0.0000,125,125,219,219,0,0.386699,0.000000,10748
