policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
leastloaded,11,112,888,0.000000,0.0000,125,125,30,30,0,0.334269,0.000000,1504
leastloaded,21,211,789,0.000000,0.0000,125,125,42,42,0,0.447603,0.000000,2284
leastloaded,31,317,683,0.000000,0.0000,125,125,61,61,0,0.471732,0.000000,3316
leastloaded,40,404,596,0.000000,0.0000,125,125,80,80,0,0.464716,0.000000,4272
leastloaded,50,501,499,0.000000,0.0000,125,125,100,100,0,0.462253,0.000000,5300
leastloaded,61,614,386,0.000000,0.0000,125,125,127,127,0,0.451453,0.000000,6616
leastloaded,71,713,287,0.000000,0.0000,125,125,158,158,0,0.423358,0.000000,8004
leastloaded,80,800,200,0.000000,0.0000,125,125,176,176,0,0.429669,0.000000,8928
leastloaded,91,912,88,0.000000,0.0000,125,125,200,200,0,0.428656,0.000000,10144
