policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
fileaware,1763479565959.27,10,101,899,0.000000,0.0000,125,125,25,25,0,0.371152,0.000000,1300
fileaware,1763479565968.90,20,201,799,0.000000,0.0000,125,125,45,45,0,0.410731,0.000000,2340
fileaware,1763479565978.72,30,301,699,0.000000,0.0000,125,125,64,64,0,0.435040,0.000000,3348
fileaware,1763479565989.26,40,409,591,0.000000,0.0000,125,125,77,77,0,0.492416,0.000000,4196
fileaware,1763479565998.54,50,500,500,0.000000,0.0000,125,125,99,99,0,0.472545,0.000000,5264
fileaware,1763479566010.18,61,617,383,0.000000,0.0000,125,125,119,119,0,0.486431,0.000000,6372
fileaware,1763479566020.42,72,720,280,0.000000,0.0000,125,125,135,135,0,0.501622,0.000000,7296
fileaware,1763479566028.33,80,800,200,0.000000,0.0000,125,125,160,160,0,0.470691,0.000000,8416
fileaware,1763479566038.62,90,901,99,0.000000,0.0000,125,125,182,182,0,0.467902,0.000000,9524
