policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
roundrobin,1763479482018.61,11,112,888,0.000000,0.0000,250,250,30,30,0,0.324699,0.000000,1504
roundrobin,1763479482026.09,21,211,789,0.000000,0.0000,250,250,42,42,0,0.409831,0.000000,2284
roundrobin,1763479482034.93,31,317,683,0.000000,0.0000,250,250,61,61,0,0.426670,0.000000,3316
roundrobin,1763479482042.43,40,404,596,0.000000,0.0000,250,250,80,80,0,0.418997,0.000000,4272
roundrobin,1763479482051.47,50,501,499,0.000000,0.0000,250,250,100,100,0,0.425398,0.000000,5300
roundrobin,1763479482061.38,61,614,386,0.000000,0.0000,250,250,127,127,0,0.412848,0.000000,6616
roundrobin,1763479482070.93,71,713,287,0.000000,0.0000,250,250,158,158,0,0.392155,0.000000,8004
roundrobin,1763479482079.30,80,800,200,0.000000,0.0000,250,250,176,176,0,0.399463,0.000000,8928
roundrobin,1763479482089.51,91,912,88,0.000000,0.0000,250,250,200,200,0,0.402542,0.000000,10144
