policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
roundrobin,1763481552126.56,10,100,900,0.000000,0.0000,125,125,21,21,11,0.403623,0.083629,1168
roundrobin,1763481552139.39,21,215,785,0.000000,0.0000,125,125,33,33,15,0.547186,0.246208,2012
roundrobin,1763481552158.30,31,310,690,0.000000,0.0000,125,125,67,67,32,0.422349,0.370789,3480
roundrobin,1763481552174.03,42,423,577,0.000000,0.0000,125,125,95,95,52,0.412503,0.311195,4828
roundrobin,1763481552186.76,50,505,495,0.000000,0.0000,125,125,106,106,63,0.444490,0.326862,5508
roundrobin,1763481552201.72,60,605,395,0.000000,0.0000,125,125,128,128,72,0.455502,0.331970,6612
roundrobin,1763481552211.42,70,700,300,0.000000,0.0000,125,125,136,136,74,0.495765,0.325080,7248
roundrobin,1763481552224.89,80,802,198,0.000000,0.0000,125,125,155,155,81,0.504672,0.324011,8264
roundrobin,1763481552242.00,90,905,95,0.000000,0.0000,125,125,184,184,93,0.481896,0.348439,9604
