policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
rand,1763481552550.16,10,107,893,0.000000,0.0000,125,125,8,8,5,1.214874,0.905420,780
rand,1763481552561.22,20,202,798,0.000000,0.0000,125,125,31,31,12,0.608430,0.502075,1896
rand,1763481552577.26,31,314,686,0.000000,0.0000,125,125,53,53,21,0.565936,0.495408,3048
rand,1763481552591.88,40,400,600,0.000000,0.0000,125,125,66,66,27,0.584647,0.593397,3808
rand,1763481552608.67,52,520,480,0.000000,0.0000,125,125,85,85,38,0.599739,0.522654,4896
rand,1763481552621.06,60,607,393,0.000000,0.0000,125,125,100,100,46,0.598816,0.498344,5724
rand,1763481552632.33,70,700,300,0.000000,0.0000,125,125,124,124,52,0.554451,0.478633,6864
rand,1763481552644.47,81,812,188,0.000000,0.0000,125,125,149,149,60,0.526465,0.447229,8112
rand,1763481552657.30,90,900,100,0.000000,0.0000,125,125,164,164,71,0.534854,0.421796,8944
