policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
roundrobin,1763479565557.56,11,112,888,0.000000,0.0000,125,125,30,30,0,0.336466,0.000000,1504
roundrobin,1763479565567.20,21,211,789,0.000000,0.0000,125,125,42,42,0,0.459002,0.000000,2284
roundrobin,1763479565577.03,31,317,683,0.000000,0.0000,125,125,61,61,0,0.469170,0.000000,3316
roundrobin,1763479565585.67,40,404,596,0.000000,0.0000,125,125,80,80,0,0.461060,0.000000,4272
roundrobin,1763479565595.38,50,501,499,0.000000,0.0000,125,125,100,100,0,0.461538,0.000000,5300
roundrobin,1763479565606.97,61,614,386,0.000000,0.0000,125,125,127,127,0,0.450015,0.000000,6616
roundrobin,1763479565616.42,71,713,287,0.000000,0.0000,125,125,158,158,0,0.418803,0.000000,8004
roundrobin,1763479565625.32,80,800,200,0.000000,0.0000,125,125,176,176,0,0.424280,0.000000,8928
roundrobin,1763479565635.90,91,912,88,0.000000,0.0000,125,125,200,200,0,0.423829,0.000000,10144
