policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
fileaware,1763481552688.23,10,101,899,0.000000,0.0000,125,125,17,17,10,0.552835,0.578809,1044
fileaware,1763481552703.98,20,200,800,0.000000,0.0000,125,125,44,44,19,0.426186,0.618048,2304
fileaware,1763481552720.20,30,305,695,0.000000,0.0000,125,125,78,78,44,0.370965,0.393122,3812
fileaware,1763481552731.27,40,401,599,0.000000,0.0000,125,125,99,99,51,0.391550,0.354732,4868
fileaware,1763481552743.04,50,502,498,0.000000,0.0000,125,125,113,113,60,0.426946,0.332609,5720
fileaware,1763481552758.09,60,602,398,0.000000,0.0000,125,125,133,133,75,0.435964,0.331576,6760
fileaware,1763481552773.73,70,707,293,0.000000,0.0000,125,125,158,158,92,0.433249,0.321939,7980
fileaware,1763481552787.28,80,808,192,0.000000,0.0000,125,125,182,182,102,0.433079,0.316942,9152
fileaware,1763481552796.35,90,905,95,0.000000,0.0000,125,125,195,195,104,0.447920,0.312056,9956
