policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
sequential,1763479565455.57,11,112,888,0.000000,0.0000,125,125,30,30,0,0.336589,0.000000,1504
sequential,1763479565464.00,21,211,789,0.000000,0.0000,125,125,42,42,0,0.432280,0.000000,2284
sequential,1763479565473.11,31,317,683,0.000000,0.0000,125,125,61,61,0,0.439621,0.000000,3316
sequential,1763479565480.54,40,404,596,0.000000,0.0000,125,125,80,80,0,0.423483,0.000000,4272
sequential,1763479565489.08,50,501,499,0.000000,0.0000,125,125,100,100,0,0.419973,0.000000,5300
sequential,1763479565500.36,61,614,386,0.000000,0.0000,125,125,127,127,0,0.415412,0.000000,6616
sequential,1763479565509.50,71,713,287,0.000000,0.0000,125,125,158,158,0,0.389163,0.000000,8004
sequential,1763479565517.88,80,800,200,0.000000,0.0000,125,125,176,176,0,0.394645,0.000000,8928
sequential,1763479565529.02,91,912,88,0.000000,0.0000,125,125,200,200,0,0.400839,0.000000,10144
