policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
leastloaded,1763479482113.40,11,112,888,0.000000,0.0000,250,250,30,30,0,0.315454,0.000000,1504
leastloaded,1763479482122.30,21,211,789,0.000000,0.0000,250,250,42,42,0,0.436465,0.000000,2284
leastloaded,1763479482132.55,31,317,683,0.000000,0.0000,250,250,61,61,0,0.468194,0.000000,3316
leastloaded,1763479482140.47,40,404,596,0.000000,0.0000,250,250,80,80,0,0.455771,0.000000,4272
leastloaded,1763479482148.84,50,501,499,0.000000,0.0000,250,250,100,100,0,0.448179,0.000000,5300
leastloaded,1763479482158.60,61,614,386,0.000000,0.0000,250,250,127,127,0,0.429591,0.000000,6616
leastloaded,1763479482167.25,71,713,287,0.000000,0.0000,250,250,158,158,0,0.399899,0.000000,8004
leastloaded,1763479482174.59,80,800,200,0.000000,0.0000,250,250,176,176,0,0.400642,0.000000,8928
leastloaded,1763479482184.17,91,912,88,0.000000,0.0000,250,250,200,200,0,0.400315,0.000000,10144
