policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
fileaware,1763479482413.36,10,104,896,0.000000,0.0000,250,250,24,24,0,0.391256,0.000000,1280
fileaware,1763479482422.65,20,201,799,0.000000,0.0000,250,250,58,58,0,0.321714,0.000000,2756
fileaware,1763479482434.58,32,322,678,0.000000,0.0000,250,250,100,100,0,0.305654,0.000000,4584
fileaware,1763479482444.92,42,427,573,0.000000,0.0000,250,250,125,125,0,0.327061,0.000000,5804
fileaware,1763479482452.38,50,500,500,0.000000,0.0000,250,250,138,138,0,0.350244,0.000000,6512
fileaware,1763479482462.53,60,600,400,0.000000,0.0000,250,250,152,152,0,0.384623,0.000000,7360
fileaware,1763479482474.29,71,711,289,0.000000,0.0000,250,250,172,172,0,0.408149,0.000000,8444
fileaware,1763479482483.25,80,800,200,0.000000,0.0000,250,250,196,196,0,0.403748,0.000000,9568
fileaware,1763479482492.89,90,907,93,0.000000,0.0000,250,250,207,207,0,0.428824,0.000000,10348
