policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
leastloaded,1763479565663.00,11,112,888,0.000000,0.0000,125,125,30,30,0,0.320182,0.000000,1504
leastloaded,1763479565672.60,21,211,789,0.000000,0.0000,125,125,42,42,0,0.446708,0.000000,2284
leastloaded,1763479565682.89,31,317,683,0.000000,0.0000,125,125,61,61,0,0.467089,0.000000,3316
leastloaded,1763479565690.74,40,404,596,0.000000,0.0000,125,125,80,80,0,0.450140,0.000000,4272
leastloaded,1763479565700.43,50,501,499,0.000000,0.0000,125,125,100,100,0,0.452842,0.000000,5300
leastloaded,1763479565712.05,61,614,386,0.000000,0.0000,125,125,127,127,0,0.444086,0.000000,6616
leastloaded,1763479565722.16,71,713,287,0.000000,0.0000,125,125,158,158,0,0.418060,0.000000,8004
leastloaded,1763479565730.61,80,800,200,0.000000,0.0000,125,125,176,176,0,0.421022,0.000000,8928
leastloaded,1763479565740.77,91,912,88,0.000000,0.0000,125,125,200,200,0,0.418944,0.000000,10144
