policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
leastloaded,1763481552268.03,10,100,900,0.000000,0.0000,125,125,21,21,11,0.413818,0.077814,1168
leastloaded,1763481552282.07,21,215,785,0.000000,0.0000,125,125,33,33,15,0.583422,0.258154,2012
leastloaded,1763481552301.36,31,310,690,0.000000,0.0000,125,125,67,67,32,0.457880,0.351944,3480
leastloaded,1763481552315.30,42,423,577,0.000000,0.0000,125,125,95,95,52,0.436264,0.268311,4828
leastloaded,1763481552327.17,50,505,495,0.000000,0.0000,125,125,106,106,63,0.471007,0.269163,5508
leastloaded,1763481552341.76,60,605,395,0.000000,0.0000,125,125,128,128,72,0.452919,0.320211,6612
leastloaded,1763481552349.56,70,700,300,0.000000,0.0000,125,125,136,136,74,0.480208,0.313166,7248
leastloaded,1763481552361.58,80,802,198,0.000000,0.0000,125,125,155,155,81,0.481515,0.314474,8264
leastloaded,1763481552378.03,90,905,95,0.000000,0.0000,125,125,184,184,93,0.460436,0.337599,9604
