policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
weightedroundrobin,1763479482208.27,11,112,888,0.000000,0.0000,250,250,30,30,0,0.361296,0.000000,1504
weightedroundrobin,1763479482217.85,21,211,789,0.000000,0.0000,250,250,42,42,0,0.485590,0.000000,2284
weightedroundrobin,1763479482228.13,31,317,683,0.000000,0.0000,250,250,61,61,0,0.502473,0.000000,3316
weightedroundrobin,1763479482237.00,40,404,596,0.000000,0.0000,250,250,80,80,0,0.493771,0.000000,4272
weightedroundrobin,1763479482246.12,50,501,499,0.000000,0.0000,250,250,100,100,0,0.485977,0.000000,5300
weightedroundrobin,1763479482256.67,61,614,386,0.000000,0.0000,250,250,127,127,0,0.465617,0.000000,6616
weightedroundrobin,1763479482266.25,71,713,287,0.000000,0.0000,250,250,158,158,0,0.434774,0.000000,8004
weightedroundrobin,1763479482274.60,80,800,200,0.000000,0.0000,250,250,176,176,0,0.437632,0.000000,8928
weightedroundrobin,1763479482285.63,91,912,88,0.000000,0.0000,250,250,200,200,0,0.440156,0.000000,10144
