policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
weightedroundrobin,1763481552404.51,10,100,900,0.000000,0.0000,125,125,21,21,11,0.453288,0.094815,1168
weightedroundrobin,1763481552419.44,21,215,785,0.000000,0.0000,125,125,33,33,15,0.641061,0.254492,2012
weightedroundrobin,1763481552437.42,31,310,690,0.000000,0.0000,125,125,67,67,32,0.495139,0.287392,3480
weightedroundrobin,1763481552453.07,42,423,577,0.000000,0.0000,125,125,95,95,52,0.463939,0.258108,4828
weightedroundrobin,1763481552464.53,50,505,495,0.000000,0.0000,125,125,106,106,63,0.490062,0.264203,5508
weightedroundrobin,1763481552478.83,60,605,395,0.000000,0.0000,125,125,128,128,72,0.488272,0.275943,6612
weightedroundrobin,1763481552489.08,70,700,300,0.000000,0.0000,125,125,136,136,74,0.530593,0.270554,7248
weightedroundrobin,1763481552503.82,80,802,198,0.000000,0.0000,125,125,155,155,81,0.532724,0.294678,8264
weightedroundrobin,1763481552519.15,90,905,95,0.000000,0.0000,125,125,184,184,93,0.510249,0.294717,9604
