policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
rand,1763479482309.45,10,101,899,0.000000,0.0000,250,250,41,41,0,0.228956,0.000000,1812
rand,1763479482320.71,21,217,783,0.000000,0.0000,250,250,70,70,0,0.294674,0.000000,3204
rand,1763479482331.19,32,326,674,0.000000,0.0000,250,250,87,87,0,0.357290,0.000000,4184
rand,1763479482338.62,40,401,599,0.000000,0.0000,250,250,112,112,0,0.343700,0.000000,5284
rand,1763479482348.59,50,500,500,0.000000,0.0000,250,250,141,141,0,0.343527,0.000000,6608
rand,1763479482360.09,61,615,385,0.000000,0.0000,250,250,160,160,0,0.374507,0.000000,7676
rand,1763479482369.47,70,707,293,0.000000,0.0000,250,250,192,192,0,0.360840,0.000000,9068
rand,1763479482378.65,80,800,200,0.000000,0.0000,250,250,219,219,0,0.358139,0.000000,10304
rand,1763479482389.68,91,910,90,0.000000,0.0000,250,250,238,238,0,0.375808,0.000000,11352
