policy,timestamp_ms,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
sequential,1763479481924.62,11,112,888,0.000000,0.0000,250,250,30,30,0,0.629940,0.000000,1504
sequential,1763479481932.72,21,211,789,0.000000,0.0000,250,250,42,42,0,0.642340,0.000000,2284
sequential,1763479481941.97,31,317,683,0.000000,0.0000,250,250,61,61,0,0.593662,0.000000,3316
sequential,1763479481949.38,40,404,596,0.000000,0.0000,250,250,80,80,0,0.545065,0.000000,4272
sequential,1763479481957.63,50,501,499,0.000000,0.0000,250,250,100,100,0,0.518352,0.000000,5300
sequential,1763479481967.42,61,614,386,0.000000,0.0000,250,250,127,127,0,0.485136,0.000000,6616
sequential,1763479481976.29,71,713,287,0.000000,0.0000,250,250,158,158,0,0.445944,0.000000,8004
sequential,1763479481983.68,80,800,200,0.000000,0.0000,250,250,176,176,0,0.442191,0.000000,8928
sequential,1763479481993.40,91,912,88,0.000000,0.0000,250,250,200,200,0,0.437644,0.000000,10144
