policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
roundrobin,10,100,900,0.000000,0.0000,125,125,21,21,11,0.379464,0.075706,1168
roundrobin,21,215,785,0.000000,0.0000,125,125,33,33,15,0.525583,0.242269,2012
roundrobin,31,310,690,0.000000,0.0000,125,125,67,67,32,0.410047,0.354843,3480
roundrobin,42,423,577,0.000000,0.0000,125,125,95,95,52,0.414664,0.269264,4828
roundrobin,50,505,495,0.000000,0.0000,125,125,106,106,63,0.443677,0.273298,5508
roundrobin,60,605,395,0.000000,0.0000,125,125,128,128,72,0.453630,0.279775,6612
roundrobin,70,700,300,0.000000,0.0000,125,125,136,136,74,0.488125,0.274200,7248
roundrobin,80,802,198,0.000000,0.0000,125,125,155,155,81,0.487089,0.276711,8264
roundrobin,90,905,95,0.000000,0.0000,125,125,184,184,93,0.476332,0.277110,9604
