policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
fileaware,10,103,897,0.000000,0.0000,125,125,18,18,10,0.590820,0.217627,1084
fileaware,20,201,799,0.000000,0.0000,125,125,59,59,28,0.357947,0.214643,2788
fileaware,30,304,696,0.000000,0.0000,125,125,81,81,38,0.387843,0.233925,3904
fileaware,40,409,591,0.000000,0.0000,125,125,93,93,45,0.445683,0.253168,4708
fileaware,50,501,499,0.000000,0.0000,125,125,116,116,63,0.434724,0.277875,5812
fileaware,60,601,399,0.000000,0.0000,125,125,135,135,75,0.446768,0.300078,6820
fileaware,70,704,296,0.000000,0.0000,125,125,159,159,91,0.442407,0.320071,8000
fileaware,81,818,182,0.000000,0.0000,125,125,182,182,98,0.447451,0.316800,9192
fileaware,90,905,95,0.000000,0.0000,125,125,207,207,105,0.436139,0.314451,10340
