policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
sequential,10,100,900,0.000000,0.0000,125,125,21,21,11,0.399182,0.080389,1168
sequential,21,215,785,0.000000,0.0000,125,125,33,33,15,0.551573,0.246891,2012
sequential,31,310,690,0.000000,0.0000,125,125,67,67,32,0.418373,0.350327,3480
sequential,42,423,577,0.000000,0.0000,125,125,95,95,52,0.407234,0.265038,4828
sequential,50,505,495,0.000000,0.0000,125,125,106,106,63,0.433631,0.300417,5508
sequential,60,605,395,0.000000,0.0000,125,125,128,128,72,0.431429,0.305901,6612
sequential,70,700,300,0.000000,0.0000,125,125,136,136,74,0.478769,0.299795,7248
sequential,80,802,198,0.000000,0.0000,125,125,155,155,81,0.485506,0.300025,8264
sequential,90,905,95,0.000000,0.0000,125,125,184,184,93,0.474716,0.295657,9604
