policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
weightedroundrobin,10,100,900,0.000000,0.0000,125,125,21,21,11,0.451567,0.092196,1168
weightedroundrobin,21,215,785,0.000000,0.0000,125,125,33,33,15,0.601873,0.276465,2012
weightedroundrobin,31,310,690,0.000000,0.0000,125,125,67,67,32,0.447670,0.289604,3480
weightedroundrobin,42,423,577,0.000000,0.0000,125,125,95,95,52,0.427223,0.265418,4828
weightedroundrobin,50,505,495,0.000000,0.0000,125,125,106,106,63,0.467444,0.270085,5508
weightedroundrobin,60,605,395,0.000000,0.0000,125,125,128,128,72,0.461327,0.322357,6612
weightedroundrobin,70,700,300,0.000000,0.0000,125,125,136,136,74,0.505292,0.315608,7248
weightedroundrobin,80,802,198,0.000000,0.0000,125,125,155,155,81,0.508824,0.315192,8264
weightedroundrobin,90,905,95,0.000000,0.0000,125,125,184,184,93,0.484509,0.314792,9604
