policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
leastloaded,10,100,900,0.000000,0.0000,125,125,21,21,11,0.430025,0.085560,1168
leastloaded,21,215,785,0.000000,0.0000,125,125,33,33,15,0.592041,0.260758,2012
leastloaded,31,310,690,0.000000,0.0000,125,125,67,67,32,0.440339,0.385590,3480
leastloaded,42,423,577,0.000000,0.0000,125,125,95,95,52,0.418873,0.319327,4828
leastloaded,50,505,495,0.000000,0.0000,125,125,106,106,63,0.451068,0.313601,5508
leastloaded,60,605,395,0.000000,0.0000,125,125,128,128,72,0.445288,0.366692,6612
leastloaded,70,700,300,0.000000,0.0000,125,125,136,136,74,0.485346,0.358768,7248
leastloaded,80,802,198,0.000000,0.0000,125,125,155,155,81,0.481660,0.353308,8264
leastloaded,90,905,95,0.000000,0.0000,125,125,184,184,93,0.456583,0.360911,9604
