policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
rand,10,100,900,0.000000,0.0000,125,125,32,32,12,0.331665,0.185221,1520
rand,20,200,800,0.000000,0.0000,125,125,68,68,32,0.308859,0.215256,3072
rand,30,300,700,0.000000,0.0000,125,125,95,95,46,0.329675,0.208894,4336
rand,40,401,599,0.000000,0.0000,125,125,117,117,58,0.353779,0.259745,5444
rand,50,500,500,0.000000,0.0000,125,125,136,136,65,0.374986,0.244790,6448
rand,60,606,394,0.000000,0.0000,125,125,159,159,73,0.386163,0.249839,7608
rand,70,700,300,0.000000,0.0000,125,125,189,189,85,0.380693,0.245758,8944
rand,80,802,198,0.000000,0.0000,125,125,211,211,88,0.393747,0.243278,10056
rand,90,902,98,0.000000,0.0000,125,125,229,229,93,0.406601,0.235709,11032
