policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
leastloaded,61,614,386,0.000000,0.0000,125,125,127,127,0,0.444759,0.000000,6616
leastloaded,59,596,404,0.000000,0.0000,125,125,127,127,0,0.450232,0.000000,6544
leastloaded,65,659,341,0.000000,0.0000,125,125,137,137,0,0.459223,0.000000,7116
leastloaded,69,696,304,0.000000,0.0000,125,125,147,147,0,0.450908,0.000000,7584
leastloaded,76,764,236,0.000000,0.0000,125,125,157,157,0,0.461390,0.000000,8176
leastloaded,80,800,200,0.000000,0.0000,125,125,166,166,0,0.459049,0.000000,8608
