policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
roundrobin,61,614,386,0.000000,0.0000,125,125,127,127,0,0.433050,0.000000,6616
roundrobin,59,596,404,0.000000,0.0000,125,125,127,127,0,0.438648,0.000000,6544
roundrobin,65,659,341,0.000000,0.0000,125,125,137,137,0,0.446929,0.000000,7116
roundrobin,69,696,304,0.000000,0.0000,125,125,147,147,0,0.439642,0.000000,7584
roundrobin,76,764,236,0.000000,0.0000,125,125,157,157,0,0.451564,0.000000,8176
roundrobin,80,800,200,0.000000,0.0000,125,125,166,166,0,0.447226,0.000000,8608
