policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
rand,61,612,388,0.000000,0.0000,125,125,123,123,0,0.459756,0.000000,6480
rand,58,581,419,0.000000,0.0000,125,125,123,123,0,0.469066,0.000000,6356
rand,62,621,379,0.000000,0.0000,125,125,133,133,0,0.463069,0.000000,6836
rand,65,658,342,0.000000,0.0000,125,125,143,143,0,0.456451,0.000000,7304
rand,67,678,322,0.000000,0.0000,125,125,153,153,0,0.439286,0.000000,7704
rand,69,698,302,0.000000,0.0000,125,125,163,163,0,0.423674,0.000000,8104
rand,76,763,237,0.000000,0.0000,125,125,173,173,0,0.432600,0.000000,8684
rand,76,763,237,0.000000,0.0000,125,125,173,173,0,0.432600,0.000000,8684
