policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
fileaware,60,600,400,0.000000,0.0000,125,125,93,93,0,0.601455,0.000000,5472
fileaware,55,553,447,0.000000,0.0000,125,125,93,93,0,0.620453,0.000000,5284
fileaware,58,581,419,0.000000,0.0000,125,125,103,103,0,0.585101,0.000000,5716
fileaware,65,651,349,0.000000,0.0000,125,125,113,113,0,0.590481,0.000000,6316
fileaware,66,667,333,0.000000,0.0000,125,125,123,123,0,0.555728,0.000000,6700
fileaware,69,690,310,0.000000,0.0000,125,125,133,133,0,0.531155,0.000000,7112
fileaware,75,752,248,0.000000,0.0000,125,125,143,143,0,0.535248,0.000000,7680
fileaware,75,752,248,0.000000,0.0000,125,125,143,143,0,0.535248,0.000000,7680
