policy,fill_pct,blocks_used,blocks_free,load_imbalance,load_std_dev,max_blocks,min_blocks,num_files,write_count,read_count,avg_write_latency_ms,avg_read_latency_ms,metadata_bytes
sequential,61,614,386,0.000000,0.0000,125,125,127,127,0,0.749752,0.000000,6616
sequential,58,584,416,0.000000,0.0000,125,125,127,127,0,0.758595,0.000000,6496
sequential,60,608,392,0.000000,0.0000,125,125,137,137,0,0.718798,0.000000,6912
sequential,63,632,368,0.000000,0.0000,125,125,147,147,0,0.683403,0.000000,7328
sequential,71,712,288,0.000000,0.0000,125,125,157,157,0,0.682051,0.000000,7968
sequential,75,754,246,0.000000,0.0000,125,125,167,167,0,0.667210,0.000000,8456
sequential,80,807,193,0.000000,0.0000,125,125,177,177,0,0.655955,0.000000,8988
sequential,80,807,193,0.000000,0.0000,125,125,177,177,0,0.655955,0.000000,8988
