policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
rand,32768,16,512,243,0.192614,0.191315,198.963039,0.000000,8.85
rand,32768,16,512,243,0.167588,0.172674,228.674200,0.000000,8.85
sequential,32768,16,512,249,0.153893,0.196998,247.101098,0.000000,9.06
roundrobin,32768,16,512,249,0.179413,0.204667,211.952958,0.000000,9.06
leastloaded,32768,16,512,249,0.180818,0.177088,210.305991,0.000000,9.06
