policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
rand,16384,16,1024,256,0.193152,0.147382,128.293875,0.000000,9.68
rand,16384,16,1024,256,0.194688,0.156062,127.282079,0.000000,9.68
sequential,16384,16,1024,249,0.179764,0.189894,145.214953,0.000000,9.50
roundrobin,16384,16,1024,249,0.209593,0.210693,124.547985,0.000000,9.50
leastloaded,16384,16,1024,249,0.212312,0.199691,122.953015,0.000000,9.50
