policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
rand,131072,16,128,128,0.245989,0.224304,508.153122,0.000000,4.59
rand,131072,16,128,128,0.259775,0.178223,481.185342,0.000000,4.59
sequential,131072,16,128,128,0.217033,0.214135,575.948255,0.000000,4.59
roundrobin,131072,16,128,128,0.262884,0.250351,475.494642,0.000000,4.59
leastloaded,131072,16,128,128,0.261253,0.233486,478.462752,0.000000,4.59
