policy,block_size_bytes,total_capacity_mb,total_blocks,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb
rand,4096,16,4096,256,0.521839,0.309536,37.954049,0.000000,13.16
rand,4096,16,4096,256,0.511347,0.289588,38.732828,0.000000,13.16
sequential,4096,16,4096,249,0.441063,0.309828,40.867682,0.000000,12.36
roundrobin,4096,16,4096,249,0.468513,0.306757,38.473290,0.000000,12.36
leastloaded,4096,16,4096,249,0.482203,0.298104,37.380973,0.000000,12.36
